Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CPRT,Copart Inc. (DE) Common Stock,$123.35,0.31,0.252%,29126990501.00,United States,1994,751706,Consumer Durables,Automotive Aftermarket
CREE,Cree Inc. Common Stock,$104.83,1.42,1.373%,11566942200.00,United States,1993,1189582,Technology,Semiconductors
CRSP,CRISPR Therapeutics AG Common Shares,$173.23,3.15,1.852%,12335210091.00,Switzerland,2016,2481189,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$223.50,-1.40,-0.622%,49452445667.00,United States,2019,5034097,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock,$44.375,-0.315,-0.705%,187507201544.00,United States,1990,12031622,Technology,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$907.75,2.42,0.267%,35781759397.00,United States,1998,91697,Miscellaneous,Business Services
CSX,CSX Corporation Common Stock,$89.67,0.12,0.134%,68577370484.00,United States,,4027132,Transportation,Railroads
CTAS,Cintas Corporation Common Stock,$339.42,-8.58,-2.466%,35511947837.00,United States,1983,504946,Consumer Non-Durables,Apparel
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$80.99,-0.03,-0.037%,43300577587.00,United States,1998,1674189,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$131.77,-0.95,-0.716%,16223993082.00,United States,1995,999577,Technology,Computer Software: Prepackaged Software
CVAC,CureVac N.V. Ordinary Shares,$101.14,-7.70,-7.075%,17999704153.00,Germany,2020,530544,Health Care,Major Pharmaceuticals
CZR,Caesars Entertainment Inc. Common Stock,$76.68,2.37,3.189%,15970690942.00,United States,,1050164,Consumer Services,Hotels/Resorts
DBX,Dropbox Inc. Class A Common Stock,$24.61,-0.26,-1.045%,10179120227.00,United States,2018,5991758,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$107.44,-3.63,-3.268%,32718955577.00,United States,2019,1586896,Technology,Computer Software: Prepackaged Software
DISCA,Discovery Inc. Series A Common Stock,$28.26,1.05,3.859%,13875759390.00,United States,,5538646,Consumer Services,Television Services
DISCB,Discovery Inc. Series B Common Stock,$31.40,0.39,1.258%,15417510434.00,United States,,676,Consumer Services,Television Services
DISCK,Discovery Inc. Series C Common Stock,$24.85,0.99,4.149%,12201437397.00,United States,,1719048,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$30.97,2.09,7.237%,16290395507.00,United States,1995,7959641,Consumer Services,Television Services
DKNG,DraftKings Inc. Class A Common Stock,$53.89,1.49,2.844%,21109458083.00,United States,2019,13837360,Consumer Services,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$107.62,-1.36,-1.248%,25311379398.00,United States,1995,1535175,Consumer Services,Department/Specialty Retail Stores
DNLI,Denali Therapeutics Inc. Common Stock,$88.07,-5.49,-5.868%,10561221943.00,United States,2017,1108362,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DOCU,DocuSign Inc. Common Stock,$244.05,-7.55,-3.001%,45529215838.00,United States,2018,2059655,Technology,Computer Software: Prepackaged Software
